elapsed_s,timestamp,cpu_usage,ram_usage,mode,fps_instant,fps_rolling
0.00,2026-08-03T08:19:05,23.1,70.7,NORMAL,2.9,2.9
1.28,2026-08-03T08:19:06,54.3,71.5,NORMAL,8.7,6.5
2.46,2026-08-03T08:19:08,40.8,71.5,NORMAL,6.7,7.1
3.63,2026-08-03T08:19:09,40.8,71.5,NORMAL,4.5,7.0
4.73,2026-08-03T08:19:10,99.0,71.9,ECONOMY,8.0,6.4
5.98,2026-08-03T08:19:11,99.0,71.9,ECONOMY,11.0,6.9
7.08,2026-08-03T08:19:12,59.2,72.1,ECONOMY,16.1,7.6
8.25,2026-08-03T08:19:13,59.2,72.1,ECONOMY,17.0,8.2
9.42,2026-08-03T08:19:14,22.6,71.8,ECONOMY,16.9,9.4
10.59,2026-08-03T08:19:16,19.1,71.7,NORMAL,8.4,9.9
11.81,2026-08-03T08:19:17,19.1,71.7,NORMAL,8.8,10.1
12.99,2026-08-03T08:19:18,27.8,71.6,NORMAL,8.5,11.8
14.16,2026-08-03T08:19:19,27.8,71.6,NORMAL,8.6,11.6
15.33,2026-08-03T08:19:20,31.5,71.6,NORMAL,8.8,11.0
16.50,2026-08-03T08:19:22,31.5,71.6,NORMAL,8.5,10.2
17.68,2026-08-03T08:19:23,39.1,71.6,NORMAL,8.4,9.4
18.85,2026-08-03T08:19:24,39.1,71.6,NORMAL,8.5,8.8
20.02,2026-08-03T08:19:25,32.2,71.6,NORMAL,8.5,8.6
21.18,2026-08-03T08:19:26,26.9,71.6,NORMAL,8.9,8.6
22.36,2026-08-03T08:19:27,26.9,71.6,NORMAL,8.3,8.6
23.52,2026-08-03T08:19:29,59.6,71.7,NORMAL,3.7,7.8
24.65,2026-08-03T08:19:30,59.6,71.7,NORMAL,3.9,6.8
25.90,2026-08-03T08:19:31,100.0,71.9,ECONOMY,10.4,7.0
27.00,2026-08-03T08:19:32,95.5,72.0,ECONOMY,8.1,7.0
28.32,2026-08-03T08:19:33,95.5,72.0,ECONOMY,8.0,7.1
29.33,2026-08-03T08:19:35,91.5,72.0,ECONOMY,7.7,7.3
30.58,2026-08-03T08:19:36,91.5,72.0,ECONOMY,12.2,7.4
31.86,2026-08-03T08:19:37,96.4,72.0,ECONOMY,14.8,7.6
33.00,2026-08-03T08:19:38,96.4,72.0,ECONOMY,16.8,9.1
34.15,2026-08-03T08:19:39,96.5,72.0,ECONOMY,9.8,9.5
35.21,2026-08-03T08:19:40,85.9,72.0,ECONOMY,9.7,9.8
36.38,2026-08-03T08:19:42,85.9,72.0,ECONOMY,8.7,9.6
37.59,2026-08-03T08:19:43,100.0,72.0,ECONOMY,8.1,9.5
38.85,2026-08-03T08:19:44,100.0,72.0,ECONOMY,14.8,9.4
39.96,2026-08-03T08:19:45,88.1,72.0,ECONOMY,13.8,9.9
41.09,2026-08-03T08:19:46,88.1,72.0,ECONOMY,17.2,10.3
42.25,2026-08-03T08:19:47,85.7,72.0,ECONOMY,16.0,10.3
43.50,2026-08-03T08:19:49,85.7,72.0,ECONOMY,9.3,10.0
44.61,2026-08-03T08:19:50,97.5,72.0,ECONOMY,12.1,10.1
45.91,2026-08-03T08:19:51,100.0,72.0,ECONOMY,7.9,9.9
47.03,2026-08-03T08:19:52,100.0,72.0,ECONOMY,13.2,10.3
48.21,2026-08-03T08:19:53,100.0,72.0,ECONOMY,7.9,9.9
49.29,2026-08-03T08:19:54,100.0,72.0,ECONOMY,8.2,9.8
50.47,2026-08-03T08:19:56,100.0,72.0,ECONOMY,16.3,9.9
51.72,2026-08-03T08:19:57,100.0,72.0,ECONOMY,8.4,9.5
52.76,2026-08-03T08:19:58,100.0,72.0,ECONOMY,13.2,9.8
53.77,2026-08-03T08:19:59,100.0,72.0,ECONOMY,8.7,9.4
54.80,2026-08-03T08:20:00,100.0,72.0,ECONOMY,12.0,9.9
56.07,2026-08-03T08:20:01,100.0,72.0,ECONOMY,13.4,9.9
57.28,2026-08-03T08:20:02,98.5,72.2,ECONOMY,12.4,9.9
58.41,2026-08-03T08:20:03,98.5,72.2,ECONOMY,7.1,9.7
59.49,2026-08-03T08:20:05,98.5,72.2,ECONOMY,7.6,9.5
60.83,2026-08-03T08:20:06,99.5,72.1,ECONOMY,9.6,9.6
61.90,2026-08-03T08:20:07,99.5,72.1,ECONOMY,14.5,9.2
63.04,2026-08-03T08:20:08,98.0,72.1,ECONOMY,7.9,9.2
64.25,2026-08-03T08:20:09,98.0,72.1,ECONOMY,8.0,9.1
65.47,2026-08-03T08:20:10,98.5,72.0,ECONOMY,8.0,9.2
66.51,2026-08-03T08:20:12,98.5,72.0,ECONOMY,9.0,9.0
