elapsed_s,timestamp,cpu_usage,ram_usage,mode,fps_instant,fps_rolling
0.00,2026-08-03T09:28:02,26.5,75.9,NORMAL,2.2,2.2
1.28,2026-08-03T09:28:03,45.7,76.6,NORMAL,8.6,5.8
2.45,2026-08-03T09:28:04,45.7,76.6,NORMAL,8.5,6.6
3.63,2026-08-03T09:28:06,31.8,76.7,TURBO,7.8,6.9
4.80,2026-08-03T09:28:07,31.8,76.7,TURBO,7.8,7.1
5.97,2026-08-03T09:28:08,36.5,76.8,TURBO,7.7,7.2
7.14,2026-08-03T09:28:09,30.8,76.8,TURBO,7.5,7.3
8.32,2026-08-03T09:28:10,30.8,76.8,TURBO,7.6,7.3
9.49,2026-08-03T09:28:11,29.0,76.7,TURBO,7.6,7.8
10.66,2026-08-03T09:28:13,29.0,76.7,TURBO,7.5,7.7
11.83,2026-08-03T09:28:14,38.7,76.7,TURBO,7.6,7.7
13.00,2026-08-03T09:28:15,38.7,76.7,TURBO,7.8,7.7
14.17,2026-08-03T09:28:16,42.0,76.7,TURBO,7.7,7.6
15.34,2026-08-03T09:28:17,40.4,76.7,TURBO,7.7,7.6
16.52,2026-08-03T09:28:19,40.4,76.7,TURBO,4.9,7.5
17.68,2026-08-03T09:28:20,57.4,77.0,TURBO,7.5,7.5
18.85,2026-08-03T09:28:21,57.4,77.0,TURBO,7.4,7.5
20.02,2026-08-03T09:28:22,39.8,77.0,TURBO,7.5,7.5
21.20,2026-08-03T09:28:23,39.8,77.0,TURBO,7.7,7.5
22.36,2026-08-03T09:28:24,35.1,76.8,TURBO,7.7,7.5
23.54,2026-08-03T09:28:26,36.2,76.8,TURBO,7.7,7.5
24.71,2026-08-03T09:28:27,36.2,76.8,TURBO,7.7,7.5
25.88,2026-08-03T09:28:28,35.7,76.8,TURBO,7.6,7.6
27.05,2026-08-03T09:28:29,35.7,76.8,TURBO,7.3,7.6
28.23,2026-08-03T09:28:30,54.8,76.8,TURBO,7.7,7.6
29.39,2026-08-03T09:28:31,54.8,76.8,TURBO,7.7,7.6
30.56,2026-08-03T09:28:33,36.2,76.8,TURBO,7.9,7.6
31.74,2026-08-03T09:28:34,36.2,76.8,TURBO,7.7,7.7
32.91,2026-08-03T09:28:35,37.5,76.7,TURBO,7.4,7.7
34.08,2026-08-03T09:28:36,37.5,76.7,TURBO,7.8,7.7
