elapsed_s,timestamp,cpu_usage,ram_usage,mode,fps_instant,fps_rolling
0.00,2026-08-02T12:44:48,52.2,56.7,NORMAL,7.0,7.0
1.27,2026-08-02T12:44:49,39.4,57.7,NORMAL,8.5,8.5
2.45,2026-08-02T12:44:50,33.5,57.7,NORMAL,9.1,8.7
3.62,2026-08-02T12:44:51,33.5,57.7,NORMAL,9.0,8.8
4.72,2026-08-02T12:44:52,95.0,57.8,ECONOMY,7.7,7.5
5.98,2026-08-02T12:44:54,95.0,57.8,ECONOMY,15.4,8.0
7.18,2026-08-02T12:44:55,78.9,58.3,ECONOMY,9.2,8.3
8.26,2026-08-02T12:44:56,78.9,58.3,ECONOMY,14.8,8.7
9.28,2026-08-02T12:44:57,86.0,58.3,ECONOMY,9.2,8.6
10.36,2026-08-02T12:44:58,89.4,58.2,ECONOMY,8.6,8.7
11.49,2026-08-02T12:44:59,89.4,58.2,ECONOMY,9.3,8.7
12.70,2026-08-02T12:45:00,91.0,58.2,ECONOMY,9.5,9.4
13.85,2026-08-02T12:45:02,91.0,58.2,ECONOMY,14.2,10.2
15.11,2026-08-02T12:45:03,98.5,58.2,ECONOMY,9.0,9.7
16.16,2026-08-02T12:45:04,98.5,58.2,ECONOMY,8.2,9.8
17.18,2026-08-02T12:45:05,91.1,58.2,ECONOMY,17.0,9.4
18.32,2026-08-02T12:45:06,91.1,58.2,ECONOMY,6.4,9.7
19.45,2026-08-02T12:45:07,96.5,58.2,ECONOMY,7.4,9.8
20.63,2026-08-02T12:45:08,96.0,58.3,ECONOMY,15.3,9.8
21.79,2026-08-02T12:45:09,96.0,58.3,ECONOMY,7.5,9.7
22.95,2026-08-02T12:45:11,96.0,58.3,ECONOMY,13.2,9.8
24.09,2026-08-02T12:45:12,96.0,58.3,ECONOMY,15.5,10.3
25.29,2026-08-02T12:45:13,98.0,58.2,ECONOMY,7.7,10.3
26.41,2026-08-02T12:45:14,98.0,58.2,ECONOMY,7.0,10.2
27.60,2026-08-02T12:45:15,98.0,58.2,ECONOMY,12.8,10.4
28.96,2026-08-02T12:45:17,100.0,58.2,ECONOMY,6.9,10.0
30.26,2026-08-02T12:45:18,100.0,58.2,ECONOMY,6.1,10.1
31.39,2026-08-02T12:45:19,98.0,58.2,ECONOMY,9.2,9.9
32.61,2026-08-02T12:45:20,99.0,58.2,ECONOMY,6.6,9.6
33.96,2026-08-02T12:45:22,99.0,58.2,ECONOMY,9.6,9.2
35.01,2026-08-02T12:45:23,98.5,58.2,ECONOMY,16.8,9.4
36.09,2026-08-02T12:45:24,98.5,58.2,ECONOMY,9.1,9.4
37.25,2026-08-02T12:45:25,99.5,58.2,ECONOMY,13.8,9.8
38.42,2026-08-02T12:45:26,99.5,58.2,ECONOMY,8.0,10.0
39.70,2026-08-02T12:45:27,99.0,58.2,ECONOMY,15.4,10.4
40.81,2026-08-02T12:45:28,99.0,58.2,ECONOMY,11.2,10.0
41.97,2026-08-02T12:45:30,97.5,58.3,ECONOMY,8.6,10.3
43.18,2026-08-02T12:45:31,98.0,58.2,ECONOMY,15.1,10.6
44.25,2026-08-02T12:45:32,98.0,58.2,ECONOMY,17.7,11.1
45.50,2026-08-02T12:45:33,20.1,57.7,TURBO,7.8,11.1
46.67,2026-08-02T12:45:34,20.1,57.7,TURBO,7.8,10.2
47.84,2026-08-02T12:45:36,37.9,57.9,TURBO,7.8,9.8
49.01,2026-08-02T12:45:37,31.3,57.9,TURBO,7.9,9.5
50.18,2026-08-02T12:45:38,31.3,57.9,TURBO,7.9,9.0
51.35,2026-08-02T12:45:39,31.8,57.9,TURBO,7.9,8.8
52.52,2026-08-02T12:45:40,31.8,57.9,TURBO,7.8,8.5
53.70,2026-08-02T12:45:41,34.2,57.9,TURBO,7.8,7.8
54.87,2026-08-02T12:45:43,34.2,57.9,TURBO,7.7,7.8
56.04,2026-08-02T12:45:44,31.2,57.9,TURBO,7.9,7.8
57.21,2026-08-02T12:45:45,31.2,57.9,TURBO,7.9,7.9
58.38,2026-08-02T12:45:46,26.9,57.9,TURBO,7.9,7.9
59.55,2026-08-02T12:45:47,28.1,57.9,TURBO,7.9,7.9
60.72,2026-08-02T12:45:48,28.1,57.9,TURBO,7.8,7.9
61.89,2026-08-02T12:45:50,32.8,57.9,TURBO,7.9,7.9
63.06,2026-08-02T12:45:51,32.8,57.9,TURBO,7.8,7.9
64.23,2026-08-02T12:45:52,33.5,57.9,TURBO,7.9,7.9
65.40,2026-08-02T12:45:53,38.7,57.9,TURBO,7.9,7.9
66.57,2026-08-02T12:45:54,38.7,57.9,TURBO,7.9,7.9
67.74,2026-08-02T12:45:55,34.2,57.9,TURBO,7.8,7.9
68.92,2026-08-02T12:45:57,34.2,57.9,TURBO,7.9,7.9
70.09,2026-08-02T12:45:58,32.2,57.9,TURBO,7.8,7.9
71.26,2026-08-02T12:45:59,32.2,57.9,TURBO,7.8,7.9
72.43,2026-08-02T12:46:00,28.0,57.9,TURBO,7.8,7.9
73.61,2026-08-02T12:46:01,29.1,57.9,TURBO,7.9,7.9
74.77,2026-08-02T12:46:02,29.1,57.9,TURBO,7.8,7.9
75.94,2026-08-02T12:46:04,32.2,58.1,TURBO,8.0,7.9
77.12,2026-08-02T12:46:05,32.2,58.1,TURBO,7.9,7.9
78.29,2026-08-02T12:46:06,35.0,58.0,TURBO,7.7,7.8
79.46,2026-08-02T12:46:07,35.0,57.9,TURBO,7.9,7.9
80.63,2026-08-02T12:46:08,35.0,57.9,TURBO,7.7,7.8
81.80,2026-08-02T12:46:09,32.5,57.9,TURBO,7.9,7.8
82.98,2026-08-02T12:46:11,32.5,57.9,TURBO,7.7,7.8
84.14,2026-08-02T12:46:12,29.8,57.9,TURBO,7.8,7.8
85.31,2026-08-02T12:46:13,29.8,57.9,TURBO,7.7,7.8
86.48,2026-08-02T12:46:14,29.4,57.9,TURBO,7.8,7.8
