timestamp,old_mode,new_mode,dwell_seconds,cpu_usage,ram_usage,battery,temperature,reason
2026-08-02T12:44:52,NORMAL,ECONOMY,6.99,95.0,57.8,,29.8,CPU=95%>=80% (عتبة دخول)
2026-08-02T12:45:33,ECONOMY,TURBO,40.64,20.1,57.7,,31.5,CPU=20%<40% (عتبة دخول)
2026-08-02T12:46:40,TURBO,NORMAL,67.07,56.2,58.4,,33.0,CPU=56% ضمن نطاق NORMAL
2026-08-02T12:46:48,NORMAL,ECONOMY,8.03,92.5,58.6,,33.0,CPU=92%>=80% (عتبة دخول)
2026-08-02T12:46:56,ECONOMY,NORMAL,8.04,61.6,58.8,,33.5,CPU=62% ضمن نطاق NORMAL
2026-08-02T12:47:04,NORMAL,ECONOMY,8.02,83.1,58.9,,34.5,CPU=83%>=80% (عتبة دخول)
2026-08-02T12:47:10,ECONOMY,NORMAL,6.02,53.2,59.1,,34.5,CPU=53% ضمن نطاق NORMAL
2026-08-02T12:47:20,NORMAL,TURBO,10.03,30.7,58.8,,33.5,CPU=31%<40% (عتبة دخول)
2026-08-02T12:47:26,TURBO,NORMAL,6.02,75.9,59.0,,34.2,CPU=76% ضمن نطاق NORMAL
2026-08-02T12:47:32,NORMAL,TURBO,6.29,36.3,58.9,,34.8,CPU=36%<40% (عتبة دخول)
